day,plant_id,organ_class,organ_index,rank,order,parent_rank,parent_organ_class,age_dd,dry_biomass_mg,area_m2,length,is_fruit,is_root,internode_width_m,leaf_length_petiole,leaf_diameter_petiole,leaf_angle_petiole,leaf_ccw_orientation,leaf_curvature,leaf_blades_nr,leaf_area_blades_total,leaf_rachis_length,fruit_nr,fruit_radius_0,fruit_radius_1,fruit_radius_2,fruit_age_dd_0,fruit_age_dd_1,fruit_age_dd_2,fruit_ripening_dd,fruit_truss_angle
38,1,Root,0,0,0,-1,none,581.9679,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,Root,0,0,0,-1,none,581.9679,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3,Root,0,0,0,-1,none,581.9679,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4,Root,0,0,0,-1,none,581.9679,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,5,Root,0,0,0,-1,none,581.9679,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,6,Root,0,0,0,-1,none,581.9679,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,7,Root,0,0,0,-1,none,581.9679,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,8,Root,0,0,0,-1,none,581.9679,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,9,Root,0,0,0,-1,none,581.9679,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,Internode,0,4,1,0,Internode,15.469329,0.12313606581126645,9.939873752919756E-5,0.00821943,false,false,0.003849366680038568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,Internode,1,4,1,0,Internode,15.469329,0.12313606581126645,9.939873752919756E-5,0.00821943,false,false,0.003849366680038568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,Internode,2,4,1,0,Internode,15.469329,0.12313606581126645,9.939873752919756E-5,0.00821943,false,false,0.003849366680038568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,Internode,0,4,1,0,Internode,15.469329,0.1283689976584185,1.0074888777587955E-4,0.008292735,false,false,0.0038671642659722544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,Internode,1,4,1,0,Internode,15.469329,0.1283689976584185,1.0074888777587955E-4,0.008292735,false,false,0.0038671642659722544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,Internode,2,4,1,0,Internode,15.469329,0.1283689976584185,1.0074888777587955E-4,0.008292735,false,false,0.0038671642659722544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3,Internode,0,4,1,0,Internode,15.469329,0.14683397112560329,1.0523521253221102E-4,0.008533939,false,false,0.003925199061802284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3,Internode,1,4,1,0,Internode,15.469329,0.14683397112560329,1.0523521253221102E-4,0.008533939,false,false,0.003925199061802284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3,Internode,2,4,1,0,Internode,15.469329,0.14683397112560329,1.0523521253221102E-4,0.008533939,false,false,0.003925199061802284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4,Internode,0,4,1,0,Internode,15.469329,0.13326720409835485,1.0197936943460303E-4,0.00835925,false,false,0.0038832482239039797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4,Internode,1,4,1,0,Internode,15.469329,0.13326720409835485,1.0197936943460303E-4,0.00835925,false,false,0.0038832482239039797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4,Internode,2,4,1,0,Internode,15.469329,0.13326720409835485,1.0197936943460303E-4,0.00835925,false,false,0.0038832482239039797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,5,Internode,0,4,1,0,Internode,15.469329,0.13020714563965244,1.0121430926587105E-4,0.008317926,false,false,0.0038732630452998364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,5,Internode,1,4,1,0,Internode,15.469329,0.13020714563965244,1.0121430926587105E-4,0.008317926,false,false,0.0038732630452998364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,5,Internode,2,4,1,0,Internode,15.469329,0.13020714563965244,1.0121430926587105E-4,0.008317926,false,false,0.0038732630452998364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,6,Internode,0,4,1,0,Internode,15.469329,0.1440459687417991,1.0458325789620256E-4,0.008499108,false,false,0.003916867972406439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
