file_name,plant_density,age_in_days_d,age_in_degree_days_dd,avg_dry_biomass_plant_with_roots_plant_daly_mg, gross photosynthesis CH2O mg,maintenance CH2O mg,avg_cumulative_PAR_absorbed_per_plant_umol,avg_cumulative_gross_assimmilates_plant_mg,avg_cumulative_assimilates_plant_mg
base_plant_dynamic_50.csv,50.0,1.0,390.0,157.19206197169555,16.80530181818666,-2.8098541596808324E-7,0.17999851627100932,16.80530181818666,16.805302099172074
base_plant_dynamic_50.csv,50.0,2.0,403.75024,191.91006884487405,44.541201611475294,0.7893316280800945,0.7592399859844339,61.34650342966195,60.55717208256728
base_plant_dynamic_50.csv,50.0,3.0,417.60886,235.35861025292718,55.10482969720995,1.7657700875778524,1.4731964220530251,116.4513331268719,113.89623169219938
base_plant_dynamic_50.csv,50.0,4.0,432.64032,286.76381541096913,66.2780155109959,2.706763257207598,2.329189550197243,182.72934863786782,177.46748394598768
base_plant_dynamic_50.csv,50.0,5.0,448.06482,321.32531426458144,52.70141934888752,3.576036898389454,3.3555540412989,235.43076798675534,226.59286639648576
base_plant_dynamic_50.csv,50.0,6.0,463.4899,381.5945923077712,81.32541281268476,4.414118674671339,4.560931614603994,316.75618079944013,303.5041605344992
base_plant_dynamic_50.csv,50.0,7.0,478.69873,428.92919449422897,71.53100472263887,5.175781480408588,5.957272604239562,388.28718552207897,369.8593837767295
base_plant_dynamic_50.csv,50.0,8.0,494.17252,503.7433730981569,103.54057562461524,6.185325884977303,7.570121838837368,491.82776114669423,467.2146335163674
base_plant_dynamic_50.csv,50.0,9.0,509.6443,572.7365715358678,101.94149899520401,7.274031662599147,9.415473878322771,593.7692601418983,561.8821008489723
base_plant_dynamic_50.csv,50.0,10.0,525.0518,668.3075509038333,132.63753474973876,8.476852231144848,11.51974001982246,726.406794891637,686.0427833675662
base_plant_dynamic_50.csv,50.0,11.0,540.5042,759.1660789402679,128.4524353824834,9.867141356777006,13.89903166137546,854.8592302741204,804.6280773932726
base_plant_dynamic_50.csv,50.0,12.0,555.90924,843.2349049646924,127.14535672185458,11.078710890501902,16.535382925366495,982.0045869959749,920.6947232246252
base_plant_dynamic_50.csv,50.0,13.0,571.4271,959.3145712740827,165.11019392905985,12.616511984691684,19.45700707186756,1147.1147809250347,1073.1884051689935
base_plant_dynamic_50.csv,50.0,14.0,586.6967,1075.4059052557022,169.778222347043,14.023191745433914,22.709791963607664,1316.8930032720777,1228.9434357706027
base_plant_dynamic_50.csv,50.0,15.0,601.9447,1210.587818963162,194.68020745690956,15.750137098301696,26.31973008837799,1511.5732107289873,1407.8735061292105
base_plant_dynamic_50.csv,50.0,16.0,617.3142,1354.1823474405373,209.994906678711,17.825206697695652,30.349464400593057,1721.5681174076983,1600.0432061102258
base_plant_dynamic_50.csv,50.0,17.0,632.88324,1518.1222234497031,238.39091557111718,20.348956541296204,34.825380833294126,1959.9590329788155,1818.0851651400467
base_plant_dynamic_50.csv,50.0,18.0,648.51184,1699.0065884420014,263.151128768798,22.943721785999855,39.80531330054062,2223.1101617476133,2058.292572122845
base_plant_dynamic_50.csv,50.0,19.0,664.12286,1896.878241266168,287.2211623903379,25.63858129858526,45.319708354108315,2510.331324137951,2319.8751532145975
base_plant_dynamic_50.csv,50.0,20.0,679.72455,2106.5991971169224,306.4483564082785,28.526753413367267,51.401633821411785,2816.7796805462294,2597.7967562095087
base_plant_dynamic_50.csv,50.0,21.0,695.25183,2333.964939224184,331.17040574817133,31.438261880128493,58.096198910497996,3147.9500862944005,2897.5289000775515
base_plant_dynamic_50.csv,50.0,22.0,710.7628,2570.9639273191415,347.92410327331044,34.575959137255104,65.40955348102068,3495.874189567711,3210.877044213607
base_plant_dynamic_50.csv,50.0,23.0,726.2459,2824.7044050425966,371.2166194820494,37.758628094485786,73.38312355626786,3867.09080904976,3544.3350356011706
base_plant_dynamic_50.csv,50.0,24.0,741.72485,3096.454376207276,383.8703758486025,41.029580016742045,82.013136666791,4250.961184898362,3887.175831433031
base_plant_dynamic_50.csv,50.0,25.0,757.1734,3274.2063063043256,319.6501508712944,43.40680152179961,91.22271825756391,4570.611335769657,4163.4191807825255
base_plant_dynamic_50.csv,50.0,26.0,772.59,3655.766741551131,541.6058605662963,46.881410871296204,101.02508716134551,5112.217196335953,4658.143630477525
base_plant_dynamic_50.csv,50.0,27.0,788.0229,3961.1176546650677,469.1880366287265,50.83592493079077,111.43400446237627,5581.40523296468,5076.495742175461
base_plant_dynamic_50.csv,50.0,28.0,803.4869,4285.988734707631,507.7794353270367,54.40655253757566,122.35664999933266,6089.184668291717,5529.868624964922
base_plant_dynamic_50.csv,50.0,29.0,818.982,4623.929678927651,555.1168730178703,58.44044834695045,133.82560260809083,6644.301541309587,6026.545049635842
base_plant_dynamic_50.csv,50.0,30.0,834.4846,5093.602147746112,713.5774238439042,64.23773597097333,145.86161875623688,7357.878965153492,6675.884737508773
base_plant_dynamic_50.csv,50.0,31.0,849.958,5534.596768607918,703.1769391125035,69.09826440750663,158.3904642223957,8061.055904265995,7309.9634122137695
base_plant_dynamic_50.csv,50.0,32.0,865.4479,6025.698516222176,780.7642436593928,74.41997783182762,171.4054412738571,8841.820147925388,8016.307678041335
base_plant_dynamic_50.csv,50.0,33.0,880.9092,6543.713965588118,829.1710603804534,80.1358583444426,184.92397333682337,9670.99120830584,8765.342880077345
base_plant_dynamic_50.csv,50.0,34.0,896.36237,7091.571623484955,897.8767323130425,86.26570809120133,198.96791403601458,10568.867940618884,9576.953904299187
base_plant_dynamic_50.csv,50.0,35.0,911.86676,7770.593390979769,1077.888965698866,93.5417733294274,213.56198129727093,11646.75690631775,10561.301096668625
