Step,Time,X_Pos_m,Deflection_mm,Force_N
0,0.0000,0.000000,0.0000,0.104014
1,0.0132,0.000000,0.0000,0.104014
2,0.0262,0.000000,0.0000,0.104014
3,0.0396,0.000000,0.0000,0.104014
4,0.0518,0.000000,0.0000,0.104014
5,0.0640,0.000000,0.0000,0.104014
6,0.0766,0.000000,0.0000,0.104014
7,0.0893,0.000000,0.0000,0.104014
8,0.1015,0.000000,0.0000,0.104014
9,0.1141,0.000000,0.0000,0.104014
10,0.1270,0.000000,0.0000,0.104014
11,0.1410,0.000000,0.0000,0.104014
12,0.1546,0.000000,0.0000,0.104014
13,0.1691,0.000000,0.0000,0.104014
14,0.1814,0.000000,0.0000,0.104014
15,0.1951,0.000000,0.0000,0.104014
16,0.2088,0.000000,0.0000,0.104014
17,0.2224,0.000000,0.0000,0.104014
18,0.2348,0.000000,0.0000,0.104014
19,0.2467,0.000000,0.0000,0.104014
20,0.2589,0.000000,0.0000,0.104014
21,0.2730,0.000000,0.0000,0.104014
22,0.2858,0.000000,0.0000,0.104014
23,0.2987,0.000000,0.0000,0.104014
24,0.3122,0.000000,0.0000,0.104014
25,0.3253,0.000000,0.0000,0.104014
26,0.3387,0.000000,0.0000,0.104014
27,0.3529,0.000000,0.0000,0.104014
28,0.3658,0.000000,0.0000,0.104014
29,0.3810,0.000000,0.0000,0.104014
30,0.3934,0.000000,0.0000,0.104014
31,0.4059,0.000000,0.0000,0.104014
32,0.4188,0.000000,0.0000,0.104014
33,0.4314,0.000000,0.0000,0.104014
34,0.4442,0.000000,0.0000,0.104014
35,0.4575,0.000000,0.0000,0.104014
36,0.4695,0.000000,0.0000,0.104014
37,0.4816,0.000000,0.0000,0.104014
38,0.4938,0.000000,0.0000,0.104014
39,0.5089,0.000000,0.0000,0.104014
40,0.5215,0.000000,0.0000,0.104014
41,0.5360,0.000000,0.0000,0.104014
42,0.5485,0.000000,0.0000,0.104014
43,0.5626,0.000000,0.0000,0.104014
44,0.5755,0.000000,0.0000,0.104014
45,0.5880,0.000000,0.0000,0.104014
46,0.6027,0.000000,0.0000,0.104014
47,0.6157,0.000000,0.0000,0.104014
48,0.6283,0.000000,0.0000,0.104014
49,0.6410,0.000000,0.0000,0.104014
50,0.6538,0.000000,0.0000,0.104014
51,0.6660,0.000000,0.0000,0.104014
52,0.6786,0.000000,0.0000,0.104014
53,0.6908,0.000000,0.0000,0.104014
54,0.7039,0.000000,0.0000,0.104014
55,0.7152,0.000000,0.0000,0.104014
56,0.7272,0.000000,0.0000,0.104014
57,0.7409,0.000000,0.0000,0.104014
58,0.7542,0.000000,0.0000,0.104014
59,0.7675,0.000000,0.0000,0.104014
60,0.7813,0.000000,0.0000,0.104014
61,0.7940,0.000000,0.0000,0.104014
62,0.8064,0.000000,0.0000,0.104014
63,0.8188,0.000000,0.0000,0.104014
64,0.8319,0.000000,0.0000,0.104014
65,0.8460,0.000000,0.0000,0.104014
66,0.8612,0.000000,0.0000,0.104014
67,0.8737,0.000000,0.0000,0.104014
68,0.8879,0.000000,0.0000,0.104014
69,0.9006,0.000000,0.0000,0.104014
70,0.9168,0.000000,0.0000,0.104014
71,0.9316,0.000000,0.0000,0.104014
72,0.9447,0.000000,0.0000,0.104014
73,0.9579,0.000000,0.0000,0.104014
74,0.9713,0.000000,0.0000,0.104014
75,0.9844,0.000000,0.0000,0.104014
76,0.9965,0.000000,0.0000,0.104014
77,1.0090,0.000000,0.0000,0.104014
78,1.0227,0.000000,0.0000,0.104014
79,1.0360,0.000000,0.0000,0.104014
80,1.0481,0.000000,0.0000,0.104014
81,1.0623,0.000000,0.0000,0.104014
82,1.0762,0.000000,0.0000,0.104014
83,1.0886,0.000000,0.0000,0.104014
84,1.1014,0.000000,0.0000,0.104014
85,1.1145,0.000000,0.0000,0.104014
86,1.1280,0.000000,0.0000,0.104014
87,1.1408,0.000000,0.0000,0.104014
88,1.1533,0.000000,0.0000,0.104014
89,1.1658,0.000000,0.0000,0.104014
90,1.1790,0.000000,0.0000,0.104014
91,1.1923,0.000000,0.0000,0.104014
92,1.2082,0.000000,0.0000,0.104014
93,1.2208,0.000000,0.0000,0.104014
94,1.2331,0.000000,0.0000,0.104014
95,1.2482,0.000000,0.0000,0.104014
96,1.2618,0.000000,0.0000,0.104014
97,1.2747,0.000000,0.0000,0.104014
98,1.2877,0.000000,0.0000,0.104014
99,1.3018,0.000000,0.0000,0.104014
100,1.3142,0.000000,0.0000,0.104014
101,1.3263,0.000000,0.0000,0.104014
102,1.3393,0.000000,0.0000,0.104014
103,1.3517,0.000000,0.0000,0.104014
104,1.3641,0.000000,0.0000,0.104014
105,1.3769,0.000000,0.0000,0.104014
106,1.3898,0.000000,0.0000,0.104014
107,1.4034,0.000000,0.0000,0.104014
108,1.4158,0.000000,0.0000,0.104014
109,1.4283,0.000000,0.0000,0.104014
110,1.4409,0.000000,0.0000,0.104014
111,1.4541,0.000000,0.0000,0.104014
112,1.4661,0.000000,0.0000,0.104014
113,1.4798,0.000000,0.0000,0.104014
114,1.4923,0.000000,0.0000,0.104014
115,1.5056,0.000000,0.0000,0.104014
116,1.5175,0.000000,0.0000,0.104014
117,1.5301,0.000000,0.0000,0.104014
118,1.5428,0.000000,0.0000,0.104014
119,1.5553,0.000000,0.0000,0.104014
120,1.5673,0.000000,0.0000,0.104014
121,1.5821,0.000000,0.0000,0.104014
122,1.5949,0.000000,0.0000,0.104014
123,1.6092,0.000000,0.0000,0.104014
124,1.6239,0.000000,0.0000,0.104014
125,1.6367,0.000000,0.0000,0.104014
126,1.6506,0.000000,0.0000,0.104014
127,1.6638,0.000000,0.0000,0.104014
128,1.6784,0.000000,0.0000,0.104014
129,1.6916,0.000000,0.0000,0.104014
130,1.7045,0.000000,0.0000,0.104014
131,1.7169,0.000000,0.0000,0.104014
132,1.7297,0.000000,0.0000,0.104014
133,1.7429,0.000000,0.0000,0.104014
134,1.7552,0.000000,0.0000,0.104014
