Step,Time,JointName,Fx,Fy,Fz,Tx,Ty,Tz,F_norm
10,0.1280,Trunk_02,0.000000,-0.042854,0.648198,0.069708,0.000000,0.000000,0.649613
10,0.1280,Trunk_03,0.000000,-0.001203,0.154092,0.000031,0.000000,0.000000,0.154096
10,0.1280,Link_01,0.000000,-0.276177,0.202443,0.066895,0.000000,0.000000,0.342428
10,0.1280,Link_02,0.000000,-0.270497,0.138896,0.053627,0.000000,0.000000,0.304073
10,0.1280,Link_03,0.000000,-0.250275,0.087915,0.040796,0.000000,0.000000,0.265267
10,0.1280,Link_04,0.000000,-0.219127,0.052950,0.029080,0.000000,0.000000,0.225434
10,0.1280,Link_05,0.000000,-0.181577,0.030650,0.019000,0.000000,0.000000,0.184146
10,0.1280,Link_06,0.000000,-0.140078,0.017085,0.010873,0.000000,0.000000,0.141116
10,0.1280,Link_07,0.000000,-0.095750,0.008814,0.004902,0.000000,0.000000,0.096155
10,0.1280,Link_08,0.000000,-0.049022,0.003455,0.001235,0.000000,0.000000,0.049144
20,0.2438,Trunk_02,0.000000,-0.032640,0.689444,0.081537,0.000000,0.000000,0.690216
20,0.2438,Trunk_03,0.000000,-0.001556,0.154087,0.000040,0.000000,0.000000,0.154095
20,0.2438,Link_01,0.000000,-0.300234,0.236873,0.078723,0.000000,0.000000,0.382426
20,0.2438,Link_02,0.000000,-0.306062,0.156796,0.064123,0.000000,0.000000,0.343888
20,0.2438,Link_03,0.000000,-0.290484,0.091612,0.049342,0.000000,0.000000,0.304588
20,0.2438,Link_04,0.000000,-0.258725,0.049094,0.035486,0.000000,0.000000,0.263342
20,0.2438,Link_05,0.000000,-0.217626,0.024963,0.023378,0.000000,0.000000,0.219053
20,0.2438,Link_06,0.000000,-0.170434,0.013015,0.013490,0.000000,0.000000,0.170930
20,0.2438,Link_07,0.000000,-0.118271,0.007334,0.006131,0.000000,0.000000,0.118498
20,0.2438,Link_08,0.000000,-0.061434,0.003620,0.001555,0.000000,0.000000,0.061541
30,0.3552,Trunk_02,0.000000,0.009105,0.572112,0.039671,0.000000,0.000000,0.572185
30,0.3552,Trunk_03,0.000000,-0.000378,0.154090,0.000009,0.000000,0.000000,0.154090
30,0.3552,Link_01,0.000000,-0.183375,0.190085,0.038548,0.000000,0.000000,0.264119
30,0.3552,Link_02,0.000000,-0.170020,0.148457,0.029869,0.000000,0.000000,0.225713
30,0.3552,Link_03,0.000000,-0.149358,0.113862,0.021881,0.000000,0.000000,0.187809
30,0.3552,Link_04,0.000000,-0.123752,0.086703,0.014953,0.000000,0.000000,0.151102
30,0.3552,Link_05,0.000000,-0.096389,0.064884,0.009323,0.000000,0.000000,0.116193
30,0.3552,Link_06,0.000000,-0.069369,0.046436,0.005067,0.000000,0.000000,0.083477
30,0.3552,Link_07,0.000000,-0.043943,0.029922,0.002159,0.000000,0.000000,0.053163
30,0.3552,Link_08,0.000000,-0.020751,0.014535,0.000508,0.000000,0.000000,0.025335
40,0.4677,Trunk_02,0.000000,0.024711,0.577963,0.036206,0.000000,0.000000,0.578491
40,0.4677,Trunk_03,0.000000,-0.000343,0.154093,0.000008,0.000000,0.000000,0.154094
40,0.4677,Link_01,0.000000,-0.176410,0.205692,0.035467,0.000000,0.000000,0.270980
40,0.4677,Link_02,0.000000,-0.161580,0.167499,0.027220,0.000000,0.000000,0.232732
40,0.4677,Link_03,0.000000,-0.140678,0.134961,0.019789,0.000000,0.000000,0.194948
40,0.4677,Link_04,0.000000,-0.115713,0.107830,0.013438,0.000000,0.000000,0.158167
40,0.4677,Link_05,0.000000,-0.089453,0.084181,0.008330,0.000000,0.000000,0.122834
40,0.4677,Link_06,0.000000,-0.063819,0.062398,0.004506,0.000000,0.000000,0.089254
40,0.4677,Link_07,0.000000,-0.040015,0.041411,0.001915,0.000000,0.000000,0.057586
40,0.4677,Link_08,0.000000,-0.018673,0.020670,0.000456,0.000000,0.000000,0.027855
50,0.5794,Trunk_02,0.000000,-0.021031,0.644444,0.065334,0.000000,0.000000,0.644787
50,0.5794,Trunk_03,0.000000,-0.001090,0.154092,0.000028,0.000000,0.000000,0.154095
50,0.5794,Link_01,0.000000,-0.258285,0.216144,0.063080,0.000000,0.000000,0.336793
50,0.5794,Link_02,0.000000,-0.254508,0.155526,0.050679,0.000000,0.000000,0.298266
50,0.5794,Link_03,0.000000,-0.236572,0.106425,0.038593,0.000000,0.000000,0.259408
50,0.5794,Link_04,0.000000,-0.207613,0.072038,0.027506,0.000000,0.000000,0.219756
50,0.5794,Link_05,0.000000,-0.172091,0.048960,0.017952,0.000000,0.000000,0.178920
50,0.5794,Link_06,0.000000,-0.132557,0.033144,0.010254,0.000000,0.000000,0.136638
50,0.5794,Link_07,0.000000,-0.090337,0.021072,0.004612,0.000000,0.000000,0.092762
50,0.5794,Link_08,0.000000,-0.046075,0.010352,0.001159,0.000000,0.000000,0.047224
60,0.7023,Trunk_02,0.000000,-0.018805,0.643306,0.065474,0.000000,0.000000,0.643581
60,0.7023,Trunk_03,0.000000,-0.001099,0.154090,0.000028,0.000000,0.000000,0.154094
60,0.7023,Link_01,0.000000,-0.255944,0.216979,0.063265,0.000000,0.000000,0.335541
60,0.7023,Link_02,0.000000,-0.253493,0.154787,0.050926,0.000000,0.000000,0.297014
60,0.7023,Link_03,0.000000,-0.236164,0.104403,0.038799,0.000000,0.000000,0.258212
60,0.7023,Link_04,0.000000,-0.207339,0.069585,0.027642,0.000000,0.000000,0.218704
60,0.7023,Link_05,0.000000,-0.171828,0.046788,0.018027,0.000000,0.000000,0.178084
60,0.7023,Link_06,0.000000,-0.132317,0.031643,0.010287,0.000000,0.000000,0.136048
60,0.7023,Link_07,0.000000,-0.090150,0.020291,0.004619,0.000000,0.000000,0.092405
60,0.7023,Link_08,0.000000,-0.045967,0.010104,0.001157,0.000000,0.000000,0.047064
70,0.8172,Trunk_02,0.000000,0.007647,0.592047,0.045201,0.000000,0.000000,0.592096
70,0.8172,Trunk_03,0.000000,-0.000558,0.154091,0.000014,0.000000,0.000000,0.154092
70,0.8172,Link_01,0.000000,-0.199116,0.202507,0.043939,0.000000,0.000000,0.284000
70,0.8172,Link_02,0.000000,-0.188273,0.157631,0.034489,0.000000,0.000000,0.245549
70,0.8172,Link_03,0.000000,-0.168747,0.120549,0.025633,0.000000,0.000000,0.207383
70,0.8172,Link_04,0.000000,-0.142821,0.091990,0.017799,0.000000,0.000000,0.169882
70,0.8172,Link_05,0.000000,-0.113846,0.069466,0.011294,0.000000,0.000000,0.133366
70,0.8172,Link_06,0.000000,-0.084028,0.050508,0.006258,0.000000,0.000000,0.098040
70,0.8172,Link_07,0.000000,-0.054712,0.033236,0.002724,0.000000,0.000000,0.064016
70,0.8172,Link_08,0.000000,-0.026619,0.016532,0.000659,0.000000,0.000000,0.031335
80,0.9299,Trunk_02,0.000000,0.006676,0.600421,0.047090,0.000000,0.000000,0.600458
80,0.9299,Trunk_03,0.000000,-0.000617,0.154093,0.000015,0.000000,0.000000,0.154094
80,0.9299,Link_01,0.000000,-0.205944,0.207490,0.045770,0.000000,0.000000,0.292344
80,0.9299,Link_02,0.000000,-0.195462,0.162001,0.036011,0.000000,0.000000,0.253870
80,0.9299,Link_03,0.000000,-0.176077,0.124375,0.026863,0.000000,0.000000,0.215574
80,0.9299,Link_04,0.000000,-0.149966,0.095321,0.018741,0.000000,0.000000,0.177696
80,0.9299,Link_05,0.000000,-0.120410,0.072292,0.011959,0.000000,0.000000,0.140445
80,0.9299,Link_06,0.000000,-0.089583,0.052781,0.006670,0.000000,0.000000,0.103976
80,0.9299,Link_07,0.000000,-0.058829,0.034870,0.002926,0.000000,0.000000,0.068387
80,0.9299,Link_08,0.000000,-0.028881,0.017416,0.000718,0.000000,0.000000,0.033726
90,1.0405,Trunk_02,0.000000,-0.012771,0.633675,0.060952,0.000000,0.000000,0.633804
90,1.0405,Trunk_03,0.000000,-0.000978,0.154091,0.000025,0.000000,0.000000,0.154095
90,1.0405,Link_01,0.000000,-0.244477,0.215160,0.058958,0.000000,0.000000,0.325673
90,1.0405,Link_02,0.000000,-0.239657,0.158149,0.047239,0.000000,0.000000,0.287135
90,1.0405,Link_03,0.000000,-0.221814,0.111821,0.035865,0.000000,0.000000,0.248406
90,1.0405,Link_04,0.000000,-0.193800,0.078795,0.025475,0.000000,0.000000,0.209206
90,1.0405,Link_05,0.000000,-0.159825,0.055808,0.016563,0.000000,0.000000,0.169289
90,1.0405,Link_06,0.000000,-0.122391,0.039091,0.009421,0.000000,0.000000,0.128483
90,1.0405,Link_07,0.000000,-0.082876,0.025429,0.004217,0.000000,0.000000,0.086690
90,1.0405,Link_08,0.000000,-0.041992,0.012684,0.001054,0.000000,0.000000,0.043866
100,1.1522,Trunk_02,0.000000,-0.009909,0.625601,0.058464,0.000000,0.000000,0.625680
100,1.1522,Trunk_03,0.000000,-0.000910,0.154091,0.000023,0.000000,0.000000,0.154093
100,1.1522,Link_01,0.000000,-0.236468,0.211904,0.056579,0.000000,0.000000,0.317523
100,1.1522,Link_02,0.000000,-0.230950,0.156524,0.045239,0.000000,0.000000,0.278994
100,1.1522,Link_03,0.000000,-0.212955,0.111496,0.034257,0.000000,0.000000,0.240377
100,1.1522,Link_04,0.000000,-0.185295,0.079242,0.024259,0.000000,0.000000,0.201528
100,1.1522,Link_05,0.000000,-0.152124,0.056579,0.015720,0.000000,0.000000,0.162304
100,1.1522,Link_06,0.000000,-0.115934,0.039858,0.008909,0.000000,0.000000,0.122594
100,1.1522,Link_07,0.000000,-0.078113,0.025998,0.003972,0.000000,0.000000,0.082326
100,1.1522,Link_08,0.000000,-0.039381,0.012978,0.000987,0.000000,0.000000,0.041464
110,1.2604,Trunk_02,0.000000,0.003316,0.603041,0.049082,0.000000,0.000000,0.603050
110,1.2604,Trunk_03,0.000000,-0.000665,0.154092,0.000016,0.000000,0.000000,0.154093
110,1.2604,Link_01,0.000000,-0.210327,0.206700,0.047655,0.000000,0.000000,0.294894
110,1.2604,Link_02,0.000000,-0.200989,0.159208,0.037648,0.000000,0.000000,0.256405
110,1.2604,Link_03,0.000000,-0.181986,0.120159,0.028178,0.000000,0.000000,0.218076
