id,organ_class,parent_id,length,width_m,parent_segment_idx,z_offset_ratio,tilt_angle,rot_angle
Internode_00,Internode,,0.2255,0.2,,,,
Internode_01,Internode,Internode_00,0.1745,0.2,,,,
Internode_02,Internode,Internode_01,0.2068,0.2,,,,
Internode_03,Internode,Internode_02,0.1548,0.2,,,,
Internode_04,Internode,Internode_03,0.1838,0.2,,,,
Internode_05,Internode,Internode_04,0.1577,0.2,,,,
Internode_06,Internode,Internode_05,0.2161,0.2,,,,
Internode_07,Internode,Internode_06,0.2387,0.2,,,,
Internode_08,Internode,Internode_07,0.0796,0.2,,,,
Internode_09,Internode,Internode_08,0.1666,0.2,,,,
Internode_10,Internode,Internode_09,0.0627,0.2,,,,
Internode_11,Internode,Internode_10,0.2406,0.2,,,,
Internode_12,Internode,Internode_11,0.2467,0.2,,,,
Internode_13,Internode,Internode_12,0.1408,0.2,,,,
Internode_14,Internode,Internode_13,0.0982,0.2,,,,
Internode_15,Internode,Internode_14,0.1794,0.2,,,,
Internode_16,Internode,Internode_15,0.2226,0.2,,,,
Internode_17,Internode,Internode_16,0.207,0.2,,,,
Internode_18,Internode,Internode_17,0.1373,0.2,,,,
Internode_19,Internode,Internode_18,0.2004,0.2,,,,
Internode_20,Internode,Internode_19,0.0704,0.2,,,,
Internode_21,Internode,Internode_20,0.0768,0.2,,,,
Internode_22,Internode,Internode_21,0.1088,0.2,,,,
Internode_23,Internode,Internode_22,0.219,0.2,,,,
Internode_24,Internode,Internode_23,0.1301,0.2,,,,
Internode_25,Internode,Internode_24,0.1631,0.2,,,,
Internode_26,Internode,Internode_25,0.2208,0.2,,,,
Internode_27,Internode,Internode_26,0.1263,0.2,,,,
Internode_28,Internode,Internode_27,0.1479,0.2,,,,
Internode_29,Internode,Internode_28,0.0505,0.2,,,,
Internode_30,Internode,Internode_29,0.0864,0.2,,,,
Internode_31,Internode,Internode_30,0.0815,0.2,,,,
Internode_32,Internode,Internode_31,0.1791,0.2,,,,
Internode_33,Internode,Internode_32,0.0618,0.2,,,,
Internode_34,Internode,Internode_33,0.1659,0.2,,,,
Internode_35,Internode,Internode_34,0.056,0.2,,,,
Internode_36,Internode,Internode_35,0.0907,0.2,,,,
Internode_37,Internode,Internode_36,0.2208,0.2,,,,
Internode_38,Internode,Internode_37,0.2116,0.2,,,,
Internode_39,Internode,Internode_38,0.1345,0.2,,,,
Internode_40,Internode,Internode_39,0.0566,0.2,,,,
Internode_41,Internode,Internode_40,0.2042,0.2,,,,
Internode_42,Internode,Internode_41,0.1071,0.2,,,,
Internode_43,Internode,Internode_42,0.1444,0.2,,,,
Internode_44,Internode,Internode_43,0.16,0.2,,,,
Internode_45,Internode,Internode_44,0.0711,0.2,,,,
Internode_46,Internode,Internode_45,0.1395,0.2,,,,
Internode_47,Internode,Internode_46,0.0788,0.2,,,,
Internode_48,Internode,Internode_47,0.1549,0.2,,,,
Internode_49,Internode,Internode_48,0.0873,0.2,,,,
Internode_50,Internode,Internode_49,0.2104,0.2,,,,
Internode_51,Internode,Internode_50,0.1005,0.2,,,,
Internode_52,Internode,Internode_51,0.0678,0.2,,,,
Internode_53,Internode,Internode_52,0.2229,0.2,,,,
Internode_54,Internode,Internode_53,0.2118,0.2,,,,
Internode_55,Internode,Internode_54,0.0526,0.2,,,,
Internode_56,Internode,Internode_55,0.2233,0.2,,,,
Internode_57,Internode,Internode_56,0.088,0.2,,,,
Branch_01,Branch,Internode_39,2.2962,0.08,,1.0,62.3098,70.2761
Branch_02,Branch,Internode_17,1.2279,0.08,,1.0,50.2969,234.888
Branch_03,Branch,Internode_30,1.3936,0.08,,1.0,41.3249,136.4749
Branch_04,Branch,Internode_15,2.1114,0.08,,1.0,40.7553,166.055
Branch_05,Branch,Internode_47,1.8849,0.08,,1.0,72.6551,35.948
Branch_06,Branch,Internode_33,1.5962,0.08,,1.0,40.3565,255.4601
Branch_07,Branch,Internode_22,2.8077,0.08,,1.0,39.1929,164.6938
