day,organ,metric,n,min,max,mean,std
60,Fruits,area_m2,9,0.0005849272129125893,0.01702830940485,0.007068290536860988,0.006647324259579297
160,Fruits,area_m2,9,0.0147555712610483,0.0177044067531824,0.015699272561404413,0.0010141748463314672
1,Internode,area_m2,3,0.00010903168127993835,0.000174792312996115,0.00015254844623129095,3.768975084646303e-05
60,Internode,area_m2,26,0.0001875830002357141,0.0010928541699043,0.0007172539313616018,0.00023148669992349445
160,Internode,area_m2,26,0.0001875830002357141,0.0010928541699043,0.000728224834294474,0.00023300910742044334
1,Internode,internode_width_m,3,0.0054166015916656,0.0062966572718208,0.005999579138277866,0.0005049043036441656
60,Internode,internode_width_m,26,0.0064401181438579,0.0087371802797345,0.00790119811617308,0.0005851455441027295
160,Internode,internode_width_m,26,0.0064401181438579,0.0087371802797345,0.007939860446288095,0.0005662550987027319
1,Internode,length,3,0.006407313,0.008836136,0.008015376000000001,0.0013927238784802248
60,Internode,length,26,0.009271495,0.03981448,0.02866849357692308,0.008571640214971676
160,Internode,length,26,0.009271495,0.03981448,0.028968375769230767,0.008650291676927817
1,Leaf,area_m2,5,0.0001950450677792696,0.000655357991819617,0.00037928308779299657,0.0002520207804797106
60,Leaf,area_m2,27,0.00019532719377323964,0.0109833915949868,0.003976920823875332,0.0035612811740396992
160,Leaf,area_m2,27,0.00019532719377323964,0.0109833915949868,0.004026140611678817,0.003527729936516172
1,Leaf,leaf_area_m2blades,2,0.00013461884,0.00013461884,0.00013461884,0.0
60,Leaf,leaf_area_m2blades,2,0.00013461884,0.00013461884,0.00013461884,0.0
160,Leaf,leaf_area_m2blades,2,0.00013461884,0.00013461884,0.00013461884,0.0
1,Leaf,leaf_diameter_petiole,5,0.0026678466,0.0037491433,0.0031299444799999998,0.0005660542082626249
60,Leaf,leaf_diameter_petiole,27,0.0027417946,0.0056972783,0.004615835874074074,0.0007552100299191068
160,Leaf,leaf_diameter_petiole,27,0.0027417946,0.0056972783,0.0046376047481481485,0.0007432548238630659
1,Leaf,leaf_length_petiole,5,0.0136242965,0.020808673,0.0166866999,0.003767752378829276
60,Leaf,leaf_length_petiole,27,0.0140959285,0.03503078,0.02706637303703704,0.00540633824904726
160,Leaf,leaf_length_petiole,27,0.0140959285,0.03503078,0.02722126303703704,0.005317782544631703
1,Leaf,leaf_rachis_length,3,0.0276516,0.030122817,0.028475339,0.00142675780017598
60,Leaf,leaf_rachis_length,26,1e-12,0.14602907,0.07355366861542308,0.03836637942086311
160,Leaf,leaf_rachis_length,25,0.032086246,0.14602907,0.07703579332,0.03569983695881079
1,Leaf,leaf_segments_length,1,0.012667506,0.012667506,0.012667506,0.0
60,Leaf,leaf_segments_length,18,0.02966899,0.05904621,0.03914451533333333,0.007634125601394161
160,Leaf,leaf_segments_length,18,0.03405398,0.05904621,0.039687091277777774,0.007174089738489524
